Travis,,Fabian,,Trevor,,Mike,,Mason,,Andrew,,Kenzie,,Kyle,,Ryan,,Richard,,Joe,,Chay,
Joe Pavelski,16,Ryan Ellis,15,Jaden Schwartz,15,Martin Jones,14,Mikko Koskinen,14,Yegor Sharangovich,16,Thatcher Demko,14,Jeff Carter,16,Cam Fowler,14,Kirby Dach,15,,,Eeli Tolvanen,15
Rasmus Andersson,17,Teuvo Teravainen,16,Connor Hellebuyck,16,Gustav Forsling,14,Ukko-Pekka Luukkonen,14,Joel Farabee,16,Jonathan Marchessault,15,Justin Faulk,16,Jaccob Slavin,17,Mathew Barzal,16,,,Jacob Trouba,15
Jesse Puljujarvi,18,Pavel Buchnevich,16,,,Brandon Saad,15,Ivan Provorov,15,Adam Fox,17,Quinton Byfield,16,Matt Dumba,17,Andrew Copp,18,Elvis Merzlikins,17,,,Kaapo Kahkonen,17
,,Sean Couturier,17,,,Brady Tkachuk,18,Nick Suzuki,18,Martin Necas,18,Bowen Byram,18,Darnell Nurse,18,Blake Coleman,18,Jakub Vrana,18,,,Alex Tuch,18
1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1
4th Round,4,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2
6th Round,6,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,2nd Round (Travis),2
7th Round,7,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,3rd Round,3
8th Round,8,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,3rd Round (Travis),3
8th Round (Chay),8,6th Round,6,6th Round,6,6th Round,6,6th Round,6,7th Round,7,6th Round,6,6th Round,6,6th Round,6,6th Round,6,6th Round,6,4th Round,4
9th Round,9,7th Round,7,7th Round,7,6th Round (Andrew),6,7th Round,7,8th Round,8,7th Round,7,7th Round,7,7th Round,7,7th Round,7,7th Round,7,5th Round,5
10th Round,10,8th Round,8,8th Round,8,7th Round,7,8th Round,8,10th Round,10,8th Round,8,8th Round,8,8th Round,8,8th Round,8,8th Round,8,5th Round (Travis),5
11th Round,11,9th Round,9,9th Round,9,8th Round,8,9th Round,9,11th Round,11,9th Round,9,9th Round,9,9th Round,9,9th Round,9,9th Round,9,6th Round,6
12th Round,12,10th Round,10,10th Round,10,9th Round,9,10th Round,10,12th Round,12,10th Round,10,10th Round,10,10th Round,10,10th Round,10,11th Round,11,7th Round,7
13th Round,13,11th Round,11,10th Round (Joe),10,9th Round (Andrew),9,11th Round,11,12th Round (Mike),12,11th Round,11,11th Round,11,11th Round,11,11th Round,11,12th Round,12,9th Round,9
14th Round,14,12th Round,12,11th Round,11,10th Round,10,12th Round,12,13th Round,13,12th Round,12,12th Round,12,12th Round,12,12th Round,12,13th Round,13,10th Round,10
15th Round,15,13th Round,13,12th Round,12,11th Round,11,13th Round,13,14th Round,14,13th Round,13,13th Round,13,13th Round,13,13th Round,13,14th Round,14,11th Round,11
16th Round,16,14th Round,14,13th Round,13,13th Round,13,14th Round,14,15th Round,15,14th Round,14,14th Round,14,14th Round,14,14th Round,14,15th Round,15,12th Round,12
16th Round (Chay),16,15th Round,15,14th Round,14,14th Round,14,15th Round,15,16th Round,16,15th Round,15,15th Round,15,15th Round,15,15th Round,15,16th Round,16,13th Round,13
17th Round,17,16th Round,16,15th Round,15,15th Round,15,16th Round,16,16th Round (Mike),16,16th Round,16,16th Round,16,16th Round,16,16th Round,16,17th Round,17,14th Round,14
17th Round (Chay),17,17th Round,17,16th Round,16,17th Round,17,17th Round,17,17th Round,17,17th Round,17,17th Round,17,17th Round,17,17th Round,17,18th Round,18,15th Round,15
18th Round,18,18th Round,18,17th Round,17,18th Round,18,18th Round,18,18th Round,18,18th Round,18,18th Round,18,18th Round,18,18th Round,18,18th Round (Trevor),18,18th Round,18
19th Round,19,19th Round,19,19th Round,19,19th Round,19,19th Round,19,19th Round,19,19th Round,19,19th Round,19,19th Round,19,19th Round,19,19th Round,19,19th Round,19
20th Round,20,20th Round,20,20th Round,20,20th Round,20,20th Round,20,20th Round,20,20th Round,20,20th Round,20,20th Round,20,20th Round,20,20th Round,20,20th Round,20
