Teenage Mutant Ninja Hertls,,Captain Shattnerkirk,,HockeyMind,,I Kane too early,,ImPasta,,Ville USO,,Kyle sux dalescoq,,JockeyMind,,Moany & Groany,,Suck and Blow,,Slap Shot,,Tatar Sauce,
Anthony Cirelli,16,Nick Schmaltz,16,Alexander Holtz,17,J.J. Moser,18,,,Nick Suzuki,14,Matthew Knies,18,Akira Schmid,17,Antti Raanta,17,K'Andre Miller,14,,,Patrick Kane,16
Jonas Johansson,17,Philipp Grubauer,17,Jonathan Drouin,17,Matt Coronato,18,,,Seth Jarvis,14,,,Ivan Barbashev,18,,,Alexis Lafreniere,16,,,Gabriel Landeskog,17
,,JJ Peterka,18,,,,,,,,,,,Joseph Woll,18,,,,,,,Tom Wilson,18
,,Joel Hofer,18,,,,,,,,,,,,,,,,,,,,
1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1,1st Round,1
2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2,2nd Round,2
3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3,3rd Round,3
4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4,4th Round,4
5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5,5th Round,5
6th Round,6,6th Round,6,6th Round,6,6th Round,6,6th Round,6,6th Round,6,6th Round,6,6th Round,6,6th Round,6,6th Round,6,6th Round,6,6th Round,6
7th Round,7,7th Round,7,7th Round,7,7th Round,7,7th Round,7,7th Round,7,7th Round,7,7th Round,7,7th Round,7,7th Round,7,7th Round,7,7th Round,7
